time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0],-4688.309419,1.334237443,,,,,,,,,,,,, 
1,0,1,1,1,-4689,,,,,,,,,,,,,,, 
2,0,1,1,1,-4689,,,,,,,,,,,,,,, 
3,0,1,1,1,-4688,,,,,,,,,,,,,,, 
4,0,1,1,1,-4687,,,,,,,,,,,,,,, 
5,0,1,1,1,-4688,,,,,,,,,,,,,,, 
6,0,1,1,1,-4692,,,,,,,,,,,,,,, 
7,0,1,1,1,-4689,,,,,,,,,,,,,,, 
8,0,1,1,1,-4687,,,,,,,,,,,,,,, 
9,0,1,1,1,-4687,,,,,,,,,,,,,,, 
10,0,1,1,1,-4688,,,,,,,,,,,,,,, 
11,0,1,1,1,-4690,,,,,,,,,,,,,,, 
12,0,1,1,1,-4688,,,,,,,,,,,,,,, 
13,0,1,1,1,-4688,,,,,,,,,,,,,,, 
14,0,1,1,1,-4691,,,,,,,,,,,,,,, 
15,0,1,1,1,-4688,,,,,,,,,,,,,,, 
16,0,1,1,1,-4688,,,,,,,,,,,,,,, 
17,0,1,1,1,-4687,,,,,,,,,,,,,,, 
18,0,1,1,1,-4687,,,,,,,,,,,,,,, 
19,0,1,1,1,-4689,,,,,,,,,,,,,,, 
20,0,1,1,1,-4688,,,,,,,,,,,,,,, 
21,0,1,1,1,-4689,,,,,,,,,,,,,,, 
22,0,1,1,1,-4690,,,,,,,,,,,,,,, 
23,0,1,1,1,-4687,,,,,,,,,,,,,,, 
24,0,1,1,1,-4689,,,,,,,,,,,,,,, 
25,0,1,1,1,-4687,,,,,,,,,,,,,,, 
26,0,1,1,1,-4688,,,,,,,,,,,,,,, 
27,0,1,1,1,-4689,,,,,,,,,,,,,,, 
28,0,1,1,1,-4687,,,,,,,,,,,,,,, 
29,0,1,1,1,-4690,,,,,,,,,,,,,,, 
30,0,1,1,1,-4688,,,,,,,,,,,,,,, 
31,0,1,1,1,-4687,,,,,,,,,,,,,,, 
32,0,1,1,1,-4687,,,,,,,,,,,,,,, 
33,0,1,1,1,-4690,,,,,,,,,,,,,,, 
34,0,1,1,1,-4688,,,,,,,,,,,,,,, 
35,0,1,1,1,-4687,,,,,,,,,,,,,,, 
36,0,1,1,1,-4688,,,,,,,,,,,,,,, 
37,0,1,1,1,-4689,,,,,,,,,,,,,,, 
38,0,1,1,1,-4689,,,,,,,,,,,,,,, 
39,0,1,1,1,-4687,,,,,,,,,,,,,,, 
40,0,1,1,1,-4686,,,,,,,,,,,,,,, 
41,0,1,1,1,-4689,,,,,,,,,,,,,,, 
42,0,1,1,1,-4686,,,,,,,,,,,,,,, 
43,0,1,1,1,-4687,,,,,,,,,,,,,,, 
44,0,1,1,1,-4688,,,,,,,,,,,,,,, 
45,0,1,1,1,-4687,,,,,,,,,,,,,,, 
46,0,1,1,1,-4689,,,,,,,,,,,,,,, 
47,0,1,1,1,-4687,,,,,,,,,,,,,,, 
48,0,1,1,1,-4687,,,,,,,,,,,,,,, 
49,0,1,1,1,-4686,,,,,,,,,,,,,,, 
50,0,1,1,1,-4691,,,,,,,,,,,,,,, 
51,0,1,1,1,-4690,,,,,,,,,,,,,,, 
52,0,1,1,1,-4688,,,,,,,,,,,,,,, 
53,0,1,1,1,-4689,,,,,,,,,,,,,,, 
54,0,1,1,1,-4688,,,,,,,,,,,,,,, 
