time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0],-4682.275256,402.2006231,MAX,min,
1,0,1,1,1,-4924, ,,-3518,-4949,1431
2,0,1,1,1,-4918, ,,,,
3,0,1,1,1,-4918, ,,,,
4,0,1,1,1,-4917, ,,,,
5,0,1,1,1,-4917, ,,,,
6,0,1,1,1,-4917, ,,,,
7,0,1,1,1,-4913, ,,,,
8,0,1,1,1,-4916, ,,,,
9,0,1,1,1,-4920, ,,,,
10,0,1,1,1,-4922, ,,,,
11,0,1,1,1,-4924, ,,,,
12,0,1,1,1,-4928, ,,,,
13,0,1,1,1,-4912, ,,,,
14,0,1,1,1,-4794, ,,,,
15,0,1,1,1,-4557, ,,,,
16,0,1,1,1,-4254, ,,,,
17,0,1,1,1,-3968, ,,,,
18,0,1,1,1,-3746, ,,,,
19,0,1,1,1,-3608, ,,,,
20,0,1,1,1,-3550, ,,,,
21,0,1,1,1,-3543, ,,,,
22,0,1,1,1,-3569, ,,,,
23,0,1,1,1,-3623, ,,,,
24,0,1,1,1,-3692, ,,,,
25,0,1,1,1,-3774, ,,,,
26,0,1,1,1,-3855, ,,,,
27,0,1,1,1,-3936, ,,,,
28,0,1,1,1,-4016, ,,,,
29,0,1,1,1,-4093, ,,,,
30,0,1,1,1,-4169, ,,,,
31,0,1,1,1,-4238, ,,,,
32,0,1,1,1,-4303, ,,,,
33,0,1,1,1,-4362, ,,,,
34,0,1,1,1,-4417, ,,,,
35,0,1,1,1,-4464, ,,,,
36,0,1,1,1,-4501, ,,,,
37,0,1,1,1,-4541, ,,,,
38,0,1,1,1,-4574, ,,,,
39,0,1,1,1,-4607, ,,,,
40,0,1,1,1,-4640, ,,,,
41,0,1,1,1,-4668, ,,,,
42,0,1,1,1,-4695, ,,,,
43,0,1,1,1,-4721, ,,,,
44,0,1,1,1,-4739, ,,,,
45,0,1,1,1,-4758, ,,,,
46,0,1,1,1,-4775, ,,,,
47,0,1,1,1,-4790, ,,,,
48,0,1,1,1,-4805, ,,,,
49,0,1,1,1,-4819, ,,,,
50,0,1,1,1,-4833, ,,,,
51,0,1,1,1,-4846, ,,,,
52,0,1,1,1,-4851, ,,,,
53,0,1,1,1,-4860, ,,,,
54,0,1,1,1,-4867, ,,,,
55,0,1,1,1,-4873, ,,,,
56,0,1,1,1,-4876, ,,,,
57,0,1,1,1,-4881, ,,,,
58,0,1,1,1,-4885, ,,,,
59,0,1,1,1,-4889, ,,,,
60,0,1,1,1,-4893, ,,,,
61,0,1,1,1,-4892, ,,,,
62,0,1,1,1,-4895, ,,,,
63,0,1,1,1,-4896, ,,,,
64,0,1,1,1,-4901, ,,,,
65,0,1,1,1,-4907, ,,,,
66,0,1,1,1,-4910, ,,,,
67,0,1,1,1,-4914, ,,,,
68,0,1,1,1,-4914, ,,,,
69,0,1,1,1,-4914, ,,,,
70,0,1,1,1,-4912, ,,,,
71,0,1,1,1,-4912, ,,,,
72,0,1,1,1,-4915, ,,,,
73,0,1,1,1,-4909, ,,,,
74,0,1,1,1,-4909, ,,,,
75,0,1,1,1,-4912, ,,,,
76,0,1,1,1,-4910, ,,,,
77,0,1,1,1,-4908, ,,,,
78,0,1,1,1,-4911, ,,,,
79,0,1,1,1,-4911, ,,,,
80,0,1,1,1,-4911, ,,,,
81,0,1,1,1,-4914, ,,,,
82,0,1,1,1,-4913, ,,,,
83,0,1,1,1,-4917, ,,,,
84,0,1,1,1,-4919, ,,,,
85,0,1,1,1,-4922, ,,,,
86,0,1,1,1,-4920, ,,,,
87,0,1,1,1,-4922, ,,,,
88,0,1,1,1,-4922, ,,,,
89,0,1,1,1,-4925, ,,,,
90,0,1,1,1,-4925, ,,,,
91,0,1,1,1,-4927, ,,,,
92,0,1,1,1,-4928, ,,,,
93,0,1,1,1,-4932, ,,,,
94,0,1,1,1,-4934, ,,,,
95,0,1,1,1,-4936, ,,,,
96,0,1,1,1,-4932, ,,,,
97,0,1,1,1,-4933, ,,,,
98,0,1,1,1,-4933, ,,,,
99,0,1,1,1,-4933, ,,,,
100,0,1,1,1,-4932, ,,,,
101,0,1,1,1,-4930, ,,,,
