time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0], ADC_D1[13], ADC_D1[12], ADC_D1[11], ADC_D1[10], ADC_D1[9], ADC_D1[8], ADC_D1[7], ADC_D1[6], ADC_D1[5], ADC_D1[4], ADC_D1[3], ADC_D1[2], ADC_D1[1], ADC_D1[0], 
1,0,1,1,1,-3827,1,1,0,0,0,1,0,0,0,0,1,1,0,1, 
2,0,1,1,1,-3824,1,1,0,0,0,1,0,0,0,1,0,0,0,0, 
3,0,1,1,1,-3820,1,1,0,0,0,1,0,0,0,1,0,1,0,0, 
4,0,1,1,1,-3816,1,1,0,0,0,1,0,0,0,1,1,0,0,0, 
5,0,1,1,1,-3811,1,1,0,0,0,1,0,0,0,1,1,1,0,1, 
6,0,1,1,1,-3814,1,1,0,0,0,1,0,0,0,1,1,0,1,0, 
7,0,1,1,1,-3814,1,1,0,0,0,1,0,0,0,1,1,0,1,0, 
8,0,1,1,1,-3816,1,1,0,0,0,1,0,0,0,1,1,0,0,0, 
9,0,1,1,1,-3819,1,1,0,0,0,1,0,0,0,1,0,1,0,1, 
10,0,1,1,1,-3823,1,1,0,0,0,1,0,0,0,1,0,0,0,1, 
11,0,1,1,1,-3829,1,1,0,0,0,1,0,0,0,0,1,0,1,1, 
12,0,1,1,1,-3812,1,1,0,0,0,1,0,0,0,1,1,1,0,0, 
13,0,1,1,1,-3711,1,1,0,0,0,1,1,0,0,0,0,0,0,1, 
14,0,1,1,1,-3509,1,1,0,0,1,0,0,1,0,0,1,0,1,1, 
15,0,1,1,1,-3270,1,1,0,0,1,1,0,0,1,1,1,0,1,0, 
16,0,1,1,1,-3070,1,1,0,1,0,0,0,0,0,0,0,0,1,0, 
17,0,1,1,1,-2963,1,1,0,1,0,0,0,1,1,0,1,1,0,1, 
18,0,1,1,1,-2955,1,1,0,1,0,0,0,1,1,1,0,1,0,1, 
19,0,1,1,1,-3022,1,1,0,1,0,0,0,0,1,1,0,0,1,0, 
20,0,1,1,1,-3146,1,1,0,0,1,1,1,0,1,1,0,1,1,0, 
21,0,1,1,1,-3298,1,1,0,0,1,1,0,0,0,1,1,1,1,0, 
22,0,1,1,1,-3475,1,1,0,0,1,0,0,1,1,0,1,1,0,1, 
23,0,1,1,1,-3658,1,1,0,0,0,1,1,0,1,1,0,1,1,0, 
24,0,1,1,1,-3844,1,1,0,0,0,0,1,1,1,1,1,1,0,0, 
25,0,1,1,1,-4024,1,1,0,0,0,0,0,1,0,0,1,0,0,0, 
26,0,1,1,1,-4201,1,0,1,1,1,1,1,0,0,1,0,1,1,1, 
27,0,1,1,1,-4360,1,0,1,1,1,0,1,1,1,1,1,0,0,0, 
28,0,1,1,1,-4513,1,0,1,1,1,0,0,1,0,1,1,1,1,1, 
29,0,1,1,1,-4655,1,0,1,1,0,1,1,1,0,1,0,0,0,1, 
30,0,1,1,1,-4789,1,0,1,1,0,1,0,1,0,0,1,0,1,1, 
31,0,1,1,1,-4907,1,0,1,1,0,0,1,1,0,1,0,1,0,1, 
32,0,1,1,1,-5021,1,0,1,1,0,0,0,1,1,0,0,0,1,1, 
33,0,1,1,1,-5124,1,0,1,0,1,1,1,1,1,1,1,1,0,0, 
34,0,1,1,1,-5213,1,0,1,0,1,1,1,0,1,0,0,0,1,1, 
35,0,1,1,1,-5298,1,0,1,0,1,1,0,1,0,0,1,1,1,0, 
36,0,1,1,1,-5370,1,0,1,0,1,1,0,0,0,0,0,1,1,0, 
37,0,1,1,1,-5434,1,0,1,0,1,0,1,1,0,0,0,1,1,0, 
38,0,1,1,1,-5496,1,0,1,0,1,0,1,0,0,0,1,0,0,0, 
39,0,1,1,1,-5554,1,0,1,0,1,0,0,1,0,0,1,1,1,0, 
40,0,1,1,1,-5603,1,0,1,0,1,0,0,0,0,1,1,1,0,1, 
41,0,1,1,1,-5652,1,0,1,0,0,1,1,1,1,0,1,1,0,0, 
42,0,1,1,1,-5693,1,0,1,0,0,1,1,1,0,0,0,0,1,1, 
43,0,1,1,1,-5733,1,0,1,0,0,1,1,0,0,1,1,0,1,1, 
44,0,1,1,1,-5764,1,0,1,0,0,1,0,1,1,1,1,1,0,0, 
45,0,1,1,1,-5792,1,0,1,0,0,1,0,1,1,0,0,0,0,0, 
46,0,1,1,1,-5817,1,0,1,0,0,1,0,1,0,0,0,1,1,1, 
47,0,1,1,1,-5845,1,0,1,0,0,1,0,0,1,0,1,0,1,1, 
48,0,1,1,1,-5867,1,0,1,0,0,1,0,0,0,1,0,1,0,1, 
49,0,1,1,1,-5887,1,0,1,0,0,1,0,0,0,0,0,0,0,1, 
50,0,1,1,1,-5902,1,0,1,0,0,0,1,1,1,1,0,0,1,0, 
51,0,1,1,1,-5920,1,0,1,0,0,0,1,1,1,0,0,0,0,0, 
52,0,1,1,1,-5933,1,0,1,0,0,0,1,1,0,1,0,0,1,1, 
53,0,1,1,1,-5945,1,0,1,0,0,0,1,1,0,0,0,1,1,1, 
54,0,1,1,1,-5953,1,0,1,0,0,0,1,0,1,1,1,1,1,1, 
55,0,1,1,1,-5964,1,0,1,0,0,0,1,0,1,1,0,1,0,0, 
56,0,1,1,1,-5974,1,0,1,0,0,0,1,0,1,0,1,0,1,0, 
57,0,1,1,1,-5983,1,0,1,0,0,0,1,0,1,0,0,0,0,1, 
58,0,1,1,1,-5994,1,0,1,0,0,0,1,0,0,1,0,1,1,0, 
59,0,1,1,1,-6001,1,0,1,0,0,0,1,0,0,0,1,1,1,1, 
60,0,1,1,1,-6003,1,0,1,0,0,0,1,0,0,0,1,1,0,1, 
61,0,1,1,1,-6005,1,0,1,0,0,0,1,0,0,0,1,0,1,1, 
62,0,1,1,1,-6006,1,0,1,0,0,0,1,0,0,0,1,0,1,0, 
63,0,1,1,1,-6008,1,0,1,0,0,0,1,0,0,0,1,0,0,0, 
64,0,1,1,1,-6012,1,0,1,0,0,0,1,0,0,0,0,1,0,0, 
65,0,1,1,1,-6018,1,0,1,0,0,0,0,1,1,1,1,1,1,0, 
66,0,1,1,1,-6021,1,0,1,0,0,0,0,1,1,1,1,0,1,1, 
67,0,1,1,1,-6024,1,0,1,0,0,0,0,1,1,1,1,0,0,0, 
68,0,1,1,1,-6027,1,0,1,0,0,0,0,1,1,1,0,1,0,1, 
69,0,1,1,1,-6031,1,0,1,0,0,0,0,1,1,1,0,0,0,1, 
70,0,1,1,1,-6031,1,0,1,0,0,0,0,1,1,1,0,0,0,1, 
71,0,1,1,1,-6033,1,0,1,0,0,0,0,1,1,0,1,1,1,1, 
72,0,1,1,1,-6035,1,0,1,0,0,0,0,1,1,0,1,1,0,1, 
73,0,1,1,1,-6036,1,0,1,0,0,0,0,1,1,0,1,1,0,0, 
74,0,1,1,1,-6037,1,0,1,0,0,0,0,1,1,0,1,0,1,1, 
75,0,1,1,1,-6036,1,0,1,0,0,0,0,1,1,0,1,1,0,0, 
76,0,1,1,1,-6038,1,0,1,0,0,0,0,1,1,0,1,0,1,0, 
77,0,1,1,1,-6037,1,0,1,0,0,0,0,1,1,0,1,0,1,1, 
78,0,1,1,1,-6032,1,0,1,0,0,0,0,1,1,1,0,0,0,0, 
79,0,1,1,1,-6029,1,0,1,0,0,0,0,1,1,1,0,0,1,1, 
80,0,1,1,1,-6027,1,0,1,0,0,0,0,1,1,1,0,1,0,1, 
81,0,1,1,1,-6030,1,0,1,0,0,0,0,1,1,1,0,0,1,0, 
82,0,1,1,1,-6032,1,0,1,0,0,0,0,1,1,1,0,0,0,0, 
83,0,1,1,1,-6036,1,0,1,0,0,0,0,1,1,0,1,1,0,0, 
84,0,1,1,1,-6036,1,0,1,0,0,0,0,1,1,0,1,1,0,0, 
85,0,1,1,1,-6039,1,0,1,0,0,0,0,1,1,0,1,0,0,1, 
86,0,1,1,1,-6042,1,0,1,0,0,0,0,1,1,0,0,1,1,0, 
